City,Design Level,PGA,EQgroup,District
,7 度,0.15g,第三组,博乐市、温泉县
巴音郭楞蒙古自治州,8 度,0.20g,第二组,库尔勒市、焉耆回族自治县、和静镇、和硕县、博湖县
,7 度,0.15g,第二组,轮台县
,7 度,0.10g,第三组,且末县
,7 度,0.10g,第二组,尉犁县、若羌县
阿克苏地区,8 度,0.20g,第二组,阿克苏市、温宿县、库车县、拜城县、乌什县、柯坪县
,7 度,0.15g,第二组,新和县
,7 度,0.10g,第三组,沙雅县、阿瓦提县、阿瓦提镇
克孜勒苏柯尔克孜自治州,9 度,0.40g,第三组,乌恰县
,8 度,0.30g,第三组,阿图什市
,8 度,0.20g,第三组,阿克陶县
,8 度,0.20g,第二组,阿合奇县
喀什地区,9 度,0.40g,第三组,塔什库尔干塔吉克自治县
,8 度,0.30g,第三组,喀什市、疏附县、英吉沙县
,8 度,0.20g,第三组,疏勒县、岳普湖县、伽师县、巴楚县
,7 度,0.15g,第三组,泽普县、叶城县
,7 度,0.10g,第三组,莎车县、麦盖提县
和田地区,7 度,0.15g,第二组,和田市、和田县2、墨玉县、洛浦县、策勒县
,7 度,0.10g,第三组,皮山县
,7 度,0.10g,第二组,于田县、民丰县
伊犁哈萨克自治州,8 度,0.30g,第三组,昭苏县、特克斯县、尼勒克县
,8 度,0.20g,第三组,伊宁市、奎屯市、霍尔果斯市、伊宁县、霍城县、巩留县、新源县
,7 度,0.15g,第三组,察布查尔锡伯自治县
塔城地区,8 度,0.20g,第三组,乌苏市、沙湾县
,7 度,0.15g,第二组,托里县
,7 度,0.15g,第一组,和布克赛尔蒙古自治县
,7 度,0.10g,第二组,裕民县
,7 度,0.10g,第一组,塔城市、额敏县
阿勒泰地区,8 度,0.20g,第三组,富蕴县、青河县
,7 度,0.15g,第二组,阿勒泰市、哈巴河县
,7 度,0.10g,第二组,布尔津县
,6 度,0.05g,第三组,福海县、吉木乃县
自治区直辖县级行政单位,8 度,0.20g,第三组,石河子市、可克达拉市
,8 度,0.20g,第二组,铁门关市
,7 度,0.15g,第三组,图木舒克市、五家渠市、双河市
,7 度,0.10g,第二组,北屯市、阿拉尔市
香港特别行政区,7 度,0.15g,第二组,香港
澳门特别行政区,7 度,0.10g,第二组,澳门
台湾省,9 度,0.40g,第三组,嘉义县、嘉义市、云林县、南投县、彰化县、台中市、苗栗县、花莲县
,9 度,0.40g,第二组,台南县、台中县
,8 度,0.30g,第三组,台北市、台北县、基隆市、桃园县、新竹县、新竹市、宜兰县、台东县、屏东县
,8 度,0.20g,第三组,高雄市、高雄县、金门县
,8 度,0.20g,第二组,澎湖县
,6 度,0.05g,第三组,妈祖县
